Date,Assignments
2022-01-11,ch. 1 concept map
2022-01-13,"Leviathan dedication authors introduction (Hobbes's) & Ch. 1-6"
2022-01-16,Connect videos
2022-01-18,ch. 2 essay questions
2022-01-18,Zybook 1
2022-01-18,"ch 7 & 11 - 13 (+ paragraph ""prudence"" on p. 40 and ""worth"" on p. 51)"
2022-01-20,IQ1: Git/GitHub Quiz
2022-01-20,Individual Assignent 1
2022-01-20,ch 14 - 18
2022-01-23,Connect ch. 1
2022-01-24,PQ2 due on BlackBoard
2022-01-25,ch. 3 essay questions
2022-01-25,Zybook 2
2022-01-25,"ch 19 - 21 24"
2022-01-27,"IQ2 DA1 due"
2022-01-27,"ch 26 29-32 & review and conclusion"
2022-01-30,Connect ch. 2
2022-01-31,PQ3 due
2022-02-01,ch. 4 essay questions
2022-02-01,Zybook 3
2022-02-01,"Two Treatises of Government, Bk. II, chs. I-IV"
2022-02-03,IQ3
2022-02-03,chs. V-VIII
2022-02-06,Connect ch. 3
2022-02-07,PQ4 due
2022-02-08,ch. 5 essay questions
2022-02-08,Zybook 4
2022-02-08,chs. IX-XIV
2022-02-09,EXAM 1 - Audit
2022-02-10,DA2 due
2022-02-10,chs. XV-XIX
2022-02-14,PQ5 due
2022-02-15,IDEA part 1
2022-02-15,ch. 6 essay questions
2022-02-15,Zybook 5
2022-02-15,"The Spirit of the Laws, pp. xli-xliv, pp. 3-20; first paper due"
2022-02-17,IQ4
2022-02-17,pp. 20-41 
2022-02-21,PQ6 due
2022-02-22,Connect ch. 4
2022-02-22,ch. 7 essay questions
2022-02-22,Zybook 6
2022-02-22,"pp. 42-63, 68-71 "
2022-02-24,"IQ5, DA3 due"
2022-02-24,"pp. ll2-ll9. l3l-l32, l54-l67, 246-253, 308-11 "
2022-02-27,Connect ch. 5
2022-02-28,PQ7 due
2022-03-01,Midterm paper due
2022-03-01,Zybook 7
2022-03-01,"Discourse on the Origins on Inequality dedication preface and first part pp. 31-69"
2022-03-02,EXAM 2 - Audit
2022-03-03,IQ6
2022-03-03,"Second part pp. 69- 92"
2022-03-08,Zybook 8
2022-03-14,DA4 due
2022-03-15,IDEA part 2
2022-03-15,ch. 9 essay questions
2022-03-15,"The Social Contract pp. 154-176"
2022-03-17,pp. 176-200
2022-03-18,Bonus Assignment
2022-03-20,Connect ch. 7
2022-03-21,PQ8 due
2022-03-22,ch. 10 essay question
2022-03-22,Zybook 9
2022-03-22,pp. 200-226
2022-03-23,DA5 due
2022-03-24,IQ7
2022-03-24,pp. 226-252
2022-03-27,Connect ch. 8
2022-03-29,ch. 11 essay questions
2022-03-29,"Reflections on the Revolution in France pp. 3-35"
2022-03-31,IQ8
2022-03-31,pp. 35-72 
2022-04-03,Module B
2022-04-04,PQ9 due
2022-04-05,ch. 12 essay questions
2022-04-05,Zybook 10
2022-04-05,"pp. 72-l08 124-128"
2022-04-06,EXAM 3 - Audit
2022-04-07,"pp. l38-l41 l58-189 246-250"
2022-04-11,DA6 due
2022-04-12,IDEA part 3
2022-04-12,Zybook 11
2022-04-12,"The Rights of Man pp. 9-40"
2022-04-14,IQ9
2022-04-14,pp. 40-72; second paper due
2022-04-19,Connect ch. 11
2022-04-19,Project check in due
2022-04-19,Zybook 12
2022-04-19,pp. 86-120 
2022-04-21,"On Liberty chs. I-II"
2022-04-24,Connect ch. 12
2022-04-26,Presentations
2022-04-26,Zybook 13
2022-04-26,chs. III-IV
2022-04-27,DA7 due
2022-04-28,IQ10
2022-04-28,ch. V
2022-05-01,"Modules A C"
2022-05-03,final paper due
2022-05-03,EXAM 4 - Audit
2022-05-04,Final Exam
2022-05-05,"Project report due project demos"